0000 - *CLS             *CLS          :*CLS
011A - TYPE?            TYPE?         [:SENSe]:TEMPerature:TRANsducer:FTHermistor:TYPE?
011B - OCOMpensated     OCOM          [:SENSe]:TEMPerature:TRANsducer:FRTD:OCOMpensated
011C - OCOMpensated?    OCOM?         [:SENSe]:TEMPerature:TRANsducer:FRTD:OCOMpensated?
011D - REFerence        REF           [:SENSe]:TEMPerature:TRANsducer:FRTD:RESistance[:REFerence]
011E - REFerence?       REF?          [:SENSe]:TEMPerature:TRANsducer:FRTD:RESistance[:REFerence]?
011F - TYPE             TYPE          [:SENSe]:TEMPerature:TRANsducer:FRTD:TYPE
0120 - TYPE?            TYPE?         [:SENSe]:TEMPerature:TRANsducer:FRTD:TYPE?
0121 - OCOMpensated     OCOM          [:SENSe]:TEMPerature:TRANsducer:RTD:OCOMpensated
0122 - OCOMpensated?    OCOM?         [:SENSe]:TEMPerature:TRANsducer:RTD:OCOMpensated?
0123 - REFerence        REF           [:SENSe]:TEMPerature:TRANsducer:RTD:RESistance[:REFerence]
0124 - REFerence?       REF?          [:SENSe]:TEMPerature:TRANsducer:RTD:RESistance[:REFerence]?
0125 - TYPE             TYPE          [:SENSe]:TEMPerature:TRANsducer:RTD:TYPE
0126 - TYPE?            TYPE?         [:SENSe]:TEMPerature:TRANsducer:RTD:TYPE?
0127 - TYPE             TYPE          [:SENSe]:TEMPerature:TRANsducer:THERmistor:TYPE
0128 - TYPE?            TYPE?         [:SENSe]:TEMPerature:TRANsducer:THERmistor:TYPE?
0129 - TYPE             TYPE          [:SENSe]:TEMPerature:TRANsducer:TYPE
012A - TYPE?            TYPE?         [:SENSe]:TEMPerature:TRANsducer:TYPE?
012B - AUTO             AUTO          [:SENSe]:TEMPerature:ZERO:AUTO
012C - AUTO?            AUTO?         [:SENSe]:TEMPerature:ZERO:AUTO?
012D - TIMer?           TIM?          :SAMPle:TIMer?
012E - TIMer            TIM           :SAMPle:TIMer
012F - COUNt            COUN          :SAMPle:COUNt
0130 - COUNt?           COUN?         :SAMPle:COUNt?
0131 - SOURce           SOUR          :SAMPle:SOURce
0132 - SOURce?          SOUR?         :SAMPle:SOURce?
0133 - PRETrigger       PRET          :SAMPle:COUNt:PRETrigger
0134 - PRETrigger?      PRET?         :SAMPle:COUNt:PRETrigger?
0135 - STATe?           STAT?         :SYSTem:BEEPer:STATe?
0136 - STATe            STAT          :SYSTem:BEEPer:STATe
